Attrition;Age;BusinessTravel;Department;DistanceFromHome;Education;EducationField;EnvironmentSatisfaction;Gender;JobInvolvement;JobLevel;JobRole;JobSatisfaction;MaritalStatus;MonthlyIncome;NumCompaniesWorked;OverTime;PercentSalaryHike;PerformanceRating;RelationshipSatisfaction;StandardHours;StockOptionLevel;TotalWorkingYears;TrainingTimesLastYear;WorkLifeBalance;YearsAtCompany;YearsInCurrentRole;YearsSinceLastPromotion;YearsWithCurrManager
TRUE;41;Travel_Rarely;Sales;1;2;Life Sciences;2;Female;3;2;Sales Executive;4;Single;5993;8;1;11;3;1;80;0;8;0;1;6;4;0;5
FALSE;49;Travel_Frequently;Research & Development;8;1;Life Sciences;3;Male;2;2;Laboratory Technician;2;Married;5130;1;0;23;4;4;80;1;10;3;3;10;7;1;7
TRUE;37;Travel_Rarely;Research & Development;2;2;Other;4;Male;2;1;Laboratory Technician;3;Single;2090;6;1;15;3;2;80;0;7;3;3;0;0;0;0
FALSE;33;Travel_Frequently;Research & Development;3;4;Life Sciences;4;Female;3;1;Research Scientist;3;Married;2909;1;1;11;3;3;80;0;8;3;3;8;7;3;0
FALSE;27;Travel_Rarely;Research & Development;2;1;Medical;1;Male;3;1;Laboratory Technician;2;Married;3468;9;0;12;3;4;80;1;6;3;3;2;2;2;2
FALSE;32;Travel_Frequently;Research & Development;2;2;Life Sciences;4;Male;3;1;Laboratory Technician;4;Single;3068;0;0;13;3;3;80;0;8;2;2;7;7;3;6
FALSE;59;Travel_Rarely;Research & Development;3;3;Medical;3;Female;4;1;Laboratory Technician;1;Married;2670;4;1;20;4;1;80;1;12;3;2;1;0;0;0
FALSE;30;Travel_Rarely;Research & Development;24;1;Life Sciences;4;Male;3;1;Laboratory Technician;3;Divorced;2693;1;0;22;4;2;80;1;1;2;3;1;0;0;0
FALSE;38;Travel_Frequently;Research & Development;23;3;Life Sciences;4;Male;2;3;Manufacturing Director;3;Single;9526;0;0;21;4;2;80;0;10;2;3;9;7;1;8
FALSE;36;Travel_Rarely;Research & Development;27;3;Medical;3;Male;3;2;Healthcare Representative;3;Married;5237;6;0;13;3;2;80;1;17;3;2;7;7;7;7
